生效日期,城市省份ID,城市名_中文,城市名_英文,胜利点,城市人口_原版无独立字段,人口口径,所属地区人口,所属地区ID,所属地区_中文,所属地区_英文,地区类型,地区建筑槽,本地补给,地区省份数,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,核心TAG,宣称TAG,省份类型,地形,是否沿海,大陆,大陆ID,省份RGB,地图X,地图高度Y,地图Z,地图旋转,地图缩放,是否补给节点,补给节点等级字段,铁路经过数量,铁路最高等级,地区资源,地区建筑,本省建筑,城市特殊名_中文,城市特殊名_英文,来源州文件
base,3838,阿雅克肖,Ajáccio,1,,所属地区manpower,322900,1,科西嘉,Corsica,town,4,0.0,3,FRA,波旁法国,Bourbon France,,COR;FRA,,land,hills,true,europe,1,"46,39,43",2944.64,9.50,1356.00,1.57,0.26,no,,0,0,,"{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1-France.txt
base,9904,罗马,Rome,40,,所属地区manpower,2781971,2,拉齐奥,Lazio,city,6,0.0,7,ITA,意大利王国,Kingdom of Italy,,ITA;PAP,,land,urban,true,europe,1,"130,177,129",3001.48,9.70,1358.00,1.57,0.28,yes,1,3,2,,"{""air_base"": 8, ""arms_factory"": 1, ""industrial_complex"": 4, ""infrastructure"": 4}","{""landmark_colosseum"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}",ITA:罗马; PAP:罗马,ITA:Roma; PAP:Roma,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\2-Italy.txt
base,11846,安齐奥,Anzio,1,,所属地区manpower,2781971,2,拉齐奥,Lazio,city,6,0.0,7,ITA,意大利王国,Kingdom of Italy,,ITA;PAP,,land,hills,true,europe,1,"172,132,157",3009.12,9.70,1352.00,1.57,0.26,yes,1,2,2,,"{""air_base"": 8, ""arms_factory"": 1, ""industrial_complex"": 4, ""infrastructure"": 4}","{""naval_base"": 2}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\2-Italy.txt
base,9620,伯尔尼,Bern,15,,所属地区manpower,1216838,3,瑞士高原,Swiss Plateau,city,6,0.0,5,SWI,赫尔维蒂军政府,Helvetic Junta,,SWI,,land,urban,false,europe,1,"129,48,204",2919.30,12.09,1454.00,1.57,0.16,yes,1,2,2,,"{""air_base"": 4, ""arms_factory"": 3, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\3-Swiss Plateau.txt
base,663,苏黎世,Zürich,10,,所属地区manpower,1216838,3,瑞士高原,Swiss Plateau,city,6,0.0,5,SWI,赫尔维蒂军政府,Helvetic Junta,,SWI,,land,urban,false,europe,1,"3,57,170",2939.82,12.50,1462.34,1.47,0.18,yes,1,4,2,,"{""air_base"": 4, ""arms_factory"": 3, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\3-Swiss Plateau.txt
base,11666,维也纳,Vienna,30,,所属地区manpower,2297983,4,下奥地利,Lower Austria,large_city,8,0.0,10,AUS,奥地利,Austria,,AUS,,land,urban,false,europe,1,"171,123,47",3058.02,11.99,1479.00,1.57,0.22,yes,1,7,2,"{""oil"": 2}","{""air_base"": 6, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 4}","{""landmark_hofburg_palace"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}",AUS:维恩; BAY:维安; GER:维恩,AUS:Wien; BAY:Wean; GER:Wien,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\4-Austria.txt
base,732,林茨,Linz,10,,所属地区manpower,2297983,4,下奥地利,Lower Austria,large_city,8,0.0,10,AUS,奥地利,Austria,,AUS,,land,forest,false,europe,1,"3,141,209",3025.48,11.10,1487.00,1.57,0.22,no,,0,0,"{""oil"": 2}","{""air_base"": 6, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\4-Austria.txt
base,6375,阿伦施泰因,Allenstein,3,,所属地区manpower,1238108,5,埃姆兰-马祖伦,Ermland-Masuren,town,4,12.0,11,GER,德意志帝国,German Empire,,GER;PRE,,land,forest,false,europe,1,"85,162,171",3125.16,10.30,1595.84,-1.57,0.28,yes,1,1,1,,"{""infrastructure"": 3}",,POL:奥尔什丁,POL:Olsztyn,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\5-Germany.txt
base,516,布鲁塞尔,Brussels,30,,所属地区manpower,2947700,6,佛兰德斯,Flanders,metropolis,10,0.0,4,BEL,利奥波德比利时,Leopoldian Belgium,,BEL,,land,urban,false,europe,1,"2,114,55",2873.10,9.80,1533.77,1.57,0.18,yes,1,6,3,"{""steel"": 4}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 3}",,FRA:布鲁塞尔; HOL:布鲁塞尔,FRA:Bruxelles; HOL:Brussel,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\6-Belgium.txt
base,6560,根特,Ghent,5,,所属地区manpower,2947700,6,佛兰德斯,Flanders,metropolis,10,0.0,4,BEL,利奥波德比利时,Leopoldian Belgium,,BEL,,land,plains,true,europe,1,"86,153,26",2863.24,10.20,1539.00,-1.57,0.20,yes,1,1,1,"{""steel"": 4}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 3}","{""naval_base"": 3}",BEL:根特; FRA:根特; HOL:根特,BEL:Gent; FRA:Gand; HOL:Gent,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\6-Belgium.txt
