名称,英文名,时代,前置科技,解锁单位,解锁建筑,解锁奇观,解锁其他,成本
制陶,Pottery,远古时代,,,粮仓,金字塔, 25
畜牧业,Animal Husbandry,远古时代,,,,,揭示马资源,25
采矿,Mining,远古时代,,,矿场,,25
占星术,Astrology,远古时代,,,,,巨石阵,40
写作,Writing,远古时代,制陶,,,图书馆,大图书馆,40
航海,Sailing,远古时代,畜牧业,,,灯塔,大灯塔,40
弓箭,Arcgery,远古时代,畜牧业,弓箭手,,箭塔, 50
车轮,The Wheel,远古时代,采矿,,重战车,水磨坊,,50
砌砖,Masonry,远古时代,采矿,,,石工坊,,50
青铜,Bronze Working,远古时代,采矿,枪兵,,,揭示铁资源,50
铁器,Iron Working,古典时代,青铜,剑士,,军营,,80
货币,Currency,古典时代,写作,,,市场,大集市,80
工程学,Engineering,古典时代,车轮,,,引水渠,,80
哲学,Philosophy,古典时代,写作,,,祠堂,古希腊剧场,80
数学,Mathematics,古典时代,货币,,,银行,,80
马镫,Stirrups,古典时代,骑术,骑士,,,要塞,120
战术,Tactics,古典时代,工程学,重装步兵,,,兵营升级,120
教育,Education,中世纪,哲学,,,大学,牛津大学,120
机械,Machinery,中世纪,工程学,弩手,,,,120
城堡,Castles,中世纪,砌砖,,,文艺复兴城墙,阿尔罕布拉宫,120
工坊,Workshops,中世纪,货币,,,工坊,紫禁城,120
修道主义,Monasticism,中世纪,哲学,,,,,120
雇佣兵,Mercenaries,中世纪,货币,,,,,120
骑士制度,Chivalry,中世纪,马镫,骑士,,,骑士团教堂,120
火药,Gunpowder,文艺复兴,教育,火枪手,,,兵工厂,240
印刷,Printing,文艺复兴,机械,,,印刷厂,240
天文导航,Celestial Navigation,文艺复兴,航海,,,灯塔升级,威尼斯军械库,240
银行业,Banking,文艺复兴,货币,,,证券交易所,大津巴布韦,240
天文学,Astronomy,文艺复兴,教育,,,天文台,240
堡垒,Bastions,文艺复兴,城堡,,,棱堡,240
人道主义,Humanism,文艺复兴,哲学,,,剧院广场升级,240
制图学,Cartography,文艺复兴,天文学,,,海军学院,麦哲伦环球航行,240
大规模生产,Mass Production,文艺复兴,制图学,,,造船厂,240
工业化,Industrialization,工业时代,大规模生产,,,工厂,鲁尔区,360
科学理论,Scientific Theory,工业时代,教育,,,研究实验室,牛津大学,360
蒸汽机,Steam Engine,工业时代,工业化,,,铁路,,360
经济学,Economics,工业时代,银行业,,,证券交易所升级,大本钟,360
军事工程学,Military Engineering,工业时代,堡垒,,,军事学院,360
膛线,Rifling,工业时代,火药,线列步兵,,,兵营升级,360
电力,Electricity,现代,科学理论,,,发电厂,阿姆斯特朗炮台,480
化学,Chemistry,现代,科学理论,,,化工厂,480
无线电,Radio,现代,电力,,,广播塔,好莱坞,480
钢铁,Steel,现代,工业化,,,军械库,悉尼歌剧院,480
航空,Flight,现代,电力,双翼机,,,机场,480
内燃机,Combustion,现代,钢铁,坦克,,,港口升级,480
制导系统,Guidance Systems,现代,化学,,,,,480
火箭技术,Rocketry,现代,航空,,,航天中心,NASA,480
核裂变,Nuclear Fission,原子时代,制导系统,,,核反应堆,曼哈顿计划,720
核聚变,Nuclear Fusion,原子时代,核裂变,,,聚变反应堆,720
计算机,Computers,原子时代,电力,,,数据中心,720
卫星,Satellites,原子时代,火箭技术,,,,,720
激光,Lasers,原子时代,制导系统,,,,,720
机器人,Robotics,原子时代,电力,机甲战士,,,,720
纳米技术,Nanotechnology,信息时代,机器人,,,,,960
人工智能,Artificial Intelligence,信息时代,计算机,,,人工智能中心,960
互联网,Internet,信息时代,计算机,,,,,960
未来科技,Future Technology,信息时代,,,,,,,960
