编号,所属类型,所属板块,所属政党,内容
0_0_99_001,政策,市场,通用,更改仓储容量，消耗：金钱 | 正面效果：调整国家战略商品仓储容量上限 | 副作用/风险：无
0_0_99_002,政策,市场,通用,更改仓储每期买入和卖出量，消耗：金钱 | 正面效果：设置仓储每期自动买入/卖出数量阈值 | 副作用/风险：市场波动可能影响收益
0_0_99_003,政策,市场,通用,设定进口配额，消耗：金钱、声量 | 正面效果：限制特定商品进口数量、保护国内产业 | 副作用/风险：贸易量下降、外交关系影响
0_0_99_004,政策,市场,通用,设定贸易配额，消耗：金钱、声量 | 正面效果：限制特定商品贸易总量、维护市场稳定 | 副作用/风险：市场效率下降、贸易伙伴不满
0_0_99_005,政策,市场,通用,强制定价，消耗：权威 | 正面效果：强制设定特定商品价格、稳定市场 | 副作用/风险：市场扭曲、供需失衡、黑市风险
0_1_99_001,政策,产业,通用,建造排期，消耗：金钱、时间 | 正面效果：规划产业建造顺序与时间、提升效率 | 副作用/风险：建造周期固定、灵活性下降
0_2_0_001,政策,军事,威权,国家动员令，消耗：权威、大量金钱 | 正面效果：大幅加快动员速度、增强军权 | 副作用/风险：激进派上升、经济产出下降
0_2_0_002,政策,军事,威权,战争经济启动，消耗：大量权威、声量 | 正面效果：大幅提升军工产能、增强动员效率 | 副作用/风险：消费品短缺严重、平民激进化严重
0_2_0_003,政策,军事,威权,军官团整编，消耗：权威 | 正面效果：增强军队忠诚、提升军事效率 | 副作用/风险：军权集中风险、军官激进化
0_2_0_004,政策,军事,威权,预备役征召，消耗：金钱 | 正面效果：大幅快速增加兵源、加快动员速度 | 副作用/风险：训练质量下降
0_2_0_005,政策,军事,威权,军事管制令，消耗：权威 | 正面效果：大幅降低动乱、大幅削弱激进派 | 副作用/风险：民权下降严重、民主声量激进化严重
0_2_0_006,政策,军事,威权,宵禁强制，消耗：权威、少量金钱 | 正面效果：降低动乱、增强夜间稳定 | 副作用/风险：商业活动下降
0_2_0_007,政策,军事,威权,边境封锁，消耗：权威 | 正面效果：大幅增强边境稳定、大幅减少非法移民 | 副作用/风险：贸易下降、外交恶名上升
0_8_0_001,政策,情报,威权,秘密行动授权，消耗：权威、威望 | 正面效果：大幅增强情报效率、提升渗透成功率 | 副作用/风险：外交风险、曝光后恶名上升严重
0_2_0_008,政策,军事,威权,军官晋升考核，消耗：金钱 | 正面效果：提升军队效率、增强军官忠诚 | 副作用/风险：考核周期延迟晋升
0_2_0_009,政策,军事,威权,军官团清洗，消耗：大量权威 | 正面效果：大幅增强军队绝对忠诚 | 副作用/风险：军事效率下降严重、政变风险激增
0_2_0_010,政策,军事,威权,军官特权授予，消耗：权威 | 正面效果：增加军官阶层支持 | 副作用/风险：贵族阶层激进化
0_3_0_001,政策,内政,威权,国家媒体广播，消耗：金钱、少量声量 | 正面效果：增强民族主义声量 | 副作用/风险：媒体成本持续消耗
0_5_0_001,政策,社会,威权,爱国主义宣传，消耗：声量 | 正面效果：大幅增强民族凝聚力、提升扩张主义声量 | 副作用/风险：知识分子激进化
0_5_0_002,政策,社会,威权,国家英雄塑造，消耗：权威、威望 | 正面效果：大幅增强军队忠诚、大幅提升民族主义声量 | 副作用/风险：领袖崇拜风险、知识分子反对严重
0_5_0_003,政策,社会,威权,反敌宣传运动，消耗：声量、权威 | 正面效果：大幅增强对敌国民意抵制、提升动员意愿 | 副作用/风险：外交恶名上升
0_3_0_002,政策,内政,威权,媒体审查令，消耗：权威 | 正面效果：大幅增强舆论控制、削弱激进派 | 副作用/风险：知识分子声量激进化极严重
0_8_0_002,政策,情报,威权,异见分子监控，消耗：权威、金钱 | 正面效果：大幅增强激进派情报 | 副作用/风险：司法成本上升严重、民权下降
0_3_0_003,政策,内政,威权,出版管制，消耗：权威 | 正面效果：大幅增强舆论稳定 | 副作用/风险：文化产出下降严重、知识分子反对严重
0_3_0_004,政策,内政,威权,网络管控，消耗：权威、金钱 | 正面效果：大幅增强信息控制 | 副作用/风险：技术发展下降
0_5_0_004,政策,社会,威权,国家主义教育改革，消耗：金钱、声量 | 正面效果：大幅增强青年忠诚、提升民族主义声量 | 副作用/风险：创新思维下降严重
0_2_0_011,政策,军事,威权,军校扩招，消耗：金钱 | 正面效果：大幅增加军官储备、提升军队声量 | 副作用/风险：民用人才流失严重
